,,"Продажа автомобилей ""MB Motors""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""MB Motors""
				ул. ХаГистадрут 33, Хайфа								Тел. 04-6211151, 052-3257457http://mbmotorscar.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
mailto:remonetli@gmail.com,remonetli@gmail.com,"Продажа автомобилей ""N.G CAR""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""N.G CAR""
				ул. ХаМесила 23, Нешер								Тел. 04-6192727, 054-2812222remonetli@gmail.comhttps://facebook.com/remon.etli",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
mailto:info@skidki.co.il,info@skidki.co.il,"Реклама в Израиле ""Info24.co.il""","Автомобили, Мотоциклы (51) ","
				Реклама в Израиле ""Info24.co.il""
				Телефоны для рекламодателей:								Тел. 073-7508999, (+972)-73-750-8999info@skidki.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
,,"Продажа автомобилей ""Трэйд-Инн Кассис""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Трэйд-Инн Кассис""
				Шоссе ""Маалот-Нагария"", Меилия								Тел. 04-9572666, 050-7342368				Факс. 04-9572669",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
mailto:moshepardo@gmail.com,moshepardo@gmail.com,"Мотоциклы, скутеры - продажа и ремонт","Автомобили, Мотоциклы (51) ","
				Мотоциклы, скутеры - продажа и ремонт
				ул. Халуцей ХаТа'асия 10, Хайфа								Тел. 04-8738815, 052-8418728, 050-5247030moshepardo@gmail.comhttp://adrenaline.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
,,"Электровелосипеды Натаниэль - Biram","Автомобили, Мотоциклы (51) ","
				Электровелосипеды Натаниэль - Biram
				ул. Шиват Цион 1, Хайфа								Тел. 054-2625464, 04-6333801",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
mailto:cohencars@walla.com,cohencars@walla.com,"Продажа автомобилей ""Рехев Коэн""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""Рехев Коэн""
				ул. ХаМусахим 53, Хайфа				(Чек-Пост)				Тел. 04-8723963, 04-8723957, 050-5234984				Факс. 04-8723963cohencars@walla.comhttps://www.facebook.com/cohencartradein/",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
mailto:yairash@gmail.com‬,yairash@gmail.com‬,"Продажа автомобилей, гараж, автомойка ","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей, гараж, автомойка 
				ул. ХаХарошет 17, Кармиэль				(рядом с АЗС ""Дор Алон"")				Тел. 053-5415791, 04-9985576				Факс. 04-9985977yairash@gmail.com‬https://facebook.com/perykarmiel",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
mailto:kalil101@walla.co.il,kalil101@walla.co.il,"Автомобили ""Рехев Клиль""","Автомобили, Мотоциклы (51) ","
				Автомобили ""Рехев Клиль""
				ул. Барекет 7, Хайфа				(Чекпост)				Тел. 052-3488995				Факс. 04-8494811kalil101@walla.co.ilhttp://kalilcar.com",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
mailto:royal1@mct.co.il,royal1@mct.co.il,"Центр обслуживания и салон ""Honda"" ","Автомобили, Мотоциклы (51) ","
				Центр обслуживания и салон ""Honda"" 
				ул. Шломо Шрира 100, Маалот				(промзона)				Тел. 04-9575002				Факс. 04-9570356royal1@mct.co.ilhttp://honda.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
